Index,Questions
1,Compare Robotic Process Automation with traditional automation.
2,What is RPA?
3,List the different types of tools in RPA.
4,Describe the life cycle of RPA.
5,How would you deploy UiPath?
6,How do you invoke a UiPath workflow?
7,What is Citrix Automation?
8,What are RPA Bots and how to create them?
9,"How are TaskBot, MetaBot, and IQBot different from one another in an RPA tool?"
10,List the industrial applications of RPA.
11,List the advantages of Robotic Process Automation.
12,How do you perform Screen Scraping in RPA?
13,List the benefits of Screen Scraping.
14,How can you differentiate RPA from Macros?
15,What are the different automation frameworks used in software automation testing?
16,List the components of RPA Solution Architecture.
17,What is Thin Client and Thick Client in RPA?
18,List the limitations of RPA.
19,Explain Flow Switch in UiPath.
20,What are the different activities performed by UiPath?
21,What are the various types of Recording available in UiPath?
22,Differentiate between Blue Prism and UiPath.
23,What are the important aspects to be considered in the planning phase of automation?
24,"If the organization's infrastructure is not aligned with RPA, then what needs to be done?"
25,Define Single Block Activity in UiPath.
26,How do you use Assign Activity and Delay Activity in UiPath?
27,When do we use UI automation? What are the three types f automation?
28,What are Selectors in UiPath?
29,Explain how to Create and Remove an argument in UiPath.
30,What are the different types of Logs? What are Log Fields?
31,What is RPA?
32,What is the UiPath tool?
33,What are the various products of UiPath?
34,What are the various phases of an RPA life cycle?
35,Explain UiPath architecture?
36,Mention the workflows in UiPath?
37,Explain the features of UiPath? 
38,Name the popular tools of RPA?
39,Mention the advantages and disadvantages of RPA?
40,Describe the difference between UiPath and automation anywhere?
41,What is the difference between UiPath and Blue Prism?
42,Give some examples of automation that can be done using UiPath?
43,What are the various types of recordings present in UiPath?
44,What are the major advantages of UiPath?
45,What is the value and scope of data types?
46,How to create a project and execute it in UiPath studio?
47,What are the different types of variable error handling actions in UiPath?
48,What is Branching?
49,What is Delay activity?
50,Why do we use element exist in UiPath?
51,What is the difference between While activity and Do-while activity?
52,What is Assign activity?
53,What is Switch activity?
54,Mention the difference between Screen Scraping and Data scraping?
55,What are Arguments in UiPath?
56,What are a thin client and a thick client in UiPath?
57,Do you know about Citrix automation?
58,What is PDF automation?
59,What is Email Automation?
60,Mention the types of OCR engines available which can integrate with UiPath?
61,Mention the types of robots in RPA?
62,"In UiPath, what is a state machine?"
63,Mention the key difference between process automation and test automation?
64,"In UiPath studio, which activity can be utilized to iterate through an activity?"
65,What is debugging in UiPath?
66,"In UiPath, how do you convert a string to an integer?"
67,What is UiPath Explorer?
68,What is Computer vision activity?
69,What is the append range in UiPath?
70,What are the various types of variables in UiPath?
71,What is the procedure for activating an UiPath Studio license?
72,What is the contention in UiPath?
73,"In UiPath, what are UI Activities Properties?"
74,Mention the different ways to create a variable in UiPath.
75,How can I connect the database to UiPath and read data from it?
76,"In UiPath, explain the terms read range, read cell, read csv, write range, write cell, and write csv."
77,"If the Package Manager’s tested package is not accessible, Do you know how to get the desired package in UiPath studio?"
78,"In UiPath, what do you mean by Selectors and Wildcards?"
79,How to connect robots to orchestrators in UiPath?
80,How would you go about enabling image and content-based process automation?
81,Can you explain the term RPA?
82,What is Automation Anywhere?
83,Why do we require Automation Anywhere?
84,Can you explain what are the advantages of Automation Anywhere?
85,What are the features of Automation Anywhere?
86,What are the three types of Automation Anywhere bots?
87,Do you know about Predefined variables?
88,What is QTP?
89,Can you give some applications where Automation Anywhere can be used?
90,What are various Automation Anywhere tools?
91,How many automation commands are available in Automation Anywhere?
92,Can you differentiate between the wait command and the delay command?
93,Do you know how many recorders are there in Automation Anywhere and what are they?
94,What are the components of Automation Anywhere tool architecture?
95,Can you mention tasks that can be automated?
96,What is Sikuli?
97,What is the difference between Automation Anywhere and Blue Prism?
98,What are the various licenses available in Automation Anywhere?
99,What are the options available in error handling?
100,How do you use Automation Anywhere system variables to create timestamps for your files?
101,How can you read PDFs through Automation Anywhere?
102,What do you mean by object cloning?
103,What are the factors that you would consider when you want to use Automation Anywhere?
104,What is meant by the framework?
105,What are the various types of frameworks in Automation Anywhere?
106,What is the control room in Automation Anywhere?
107,What is a Bot Creator?
108,What is Bot Runner?
109,What is an Automation Anywhere Bot store?
110,What is Trigger and what is the use of Trigger in Automation Anywhere?
111,What do you know about Bot insight?
112,What is the difference between a set text and an append text?
113,What is the App Integration command?
114,What types of scripts can Automation Anywhere run?
115,What is PGP? And the use of PGP?
116,"In the AA assignment, how will you link or read two or more separate excel files?"
117,What exactly does Workflow Designer mean?
118,How can we extract tables from PDFs in Automation Anywhere?
119,What do you know about auto-login in Automation Anywhere?
120,How do we use OCR for image recognition?
121,How can we use Automation Anywhere to read CSV files?
122,Why are string operation commands used in Automation Anywhere?
123,What is Automation Anywhere credential vault?
124,What is the best way to get access to the API interaction?
125,How do I configure Automation Anywhere's email settings and SMTP server?
126,Explain steps involved in recording tasks in Automation Anywhere?
127,"What do you mean by the terms least, moderately, and most friendly formats in Automation Anywhere."
128,Can we acquire 100% automation with Automation Anywhere?
129,What are the steps you would take If you couldn’t log in to the client machine from Automation Anywhere?
130,When are you going to start managing bot lifecycles in Automation Anywhere?
131,Compare Splunk with Spark.
132,What is Splunk?
133,What are the common port numbers used by Splunk?
134,What are the components of Splunk? Explain Splunk architecture.
135,Which is the latest Splunk version in use?
136,What is Splunk Indexer? What are the stages of Splunk Indexing?
137,What is a Splunk Forwarder? What are the types of Splunk Forwarders?
138,Can you name a few most important configuration files in Splunk?
139,What are the types of Splunk Licenses?
140,What is Splunk App?
141,Where is Splunk Default Configuration stored?
142,What are the features not available in Splunk Free?
143,What happens if the License Master is unreachable?
144,What is Summary Index in Splunk?
145,What is Splunk DB Connect?
146,Can you write down a general regular expression for extracting the IP address from logs?
147,Explain Stats vs Transaction commands.
148,How to troubleshoot Splunk performance issues?
149,What are Buckets? Explain Splunk Bucket Lifecycle.
150,What is the difference between stats and eventstats commands?
151,Who are the top direct competitors to Splunk?
152,What do Splunk Licenses specify?
153,"How does Splunk determine 1 day, from a licensing perspective?"
154,How are Forwarder Licenses purchased?
155,What is the command for restarting Splunk web server?
156,What is the command for restarting Splunk Daemon?
157,What is the command used to check the running Splunk processes on Unix/Linux?
158,What is the command used for enabling Splunk to boot start?
159,How to disable Splunk boot-start?
160,What is Source Type in Splunk?
161,How to reset Splunk Admin password?
162,How to disable Splunk Launch Message?
163,How to clear Splunk Search History?
164,What is Btool? How will you troubleshoot Splunk configuration files?
165,What is the difference between Splunk App and Splunk Add-on?
166,What is .conf files precedence in Splunk?
167,What is Fishbucket? What is Fishbucket Index?
168,How do I exclude some events from being indexed by Splunk?
169,How can I understand when Splunk has finished indexing a log file?
170,How to set the default search time in Splunk 6?
171,What is Dispatch Directory?
172,What is the difference between Search Head Pooling and Search Head Clustering?
173,"If I want to add folder access logs from a windows machine to Splunk, how do I do it?"
174,How would you handle/troubleshoot Splunk License Violation Warning?
175,What is MapReduce algorithm?
176,How does Splunk avoid the duplicate indexing of logs?
177,What is the difference between Splunk SDK and Splunk Framework?
178,For what purpose inputlookup and outputlookup are used in Splunk Search?
179,Explain how Splunk works?
180,How to add the colors in Splunk UI based on the field names? 
181,How the Data Ages in Splunk?
182,What are pivots and data models in Splunk?
183,Explain Workflow Actions?
184,How many types of dashboards are available in Splunk?
185,What are the types of alerts available in Splunk?
186,Define the term “Search factor” and “Replication factor”
187,How to stop/start the Splunk service?
188,What is the use of Time Zone property in Splunk?
189,What are the important Search commands in Splunk?
190,How many types of search modes are there in Splunk?
191,Check out this video on Hadoop Interview Questions and Answers:
192,What do you mean by the term or concept of Big Data?
193,What are the characteristics of Big Data?
194,What are the various steps involved in deploying a Big Data solution?
195,What are the core components of Hadoop?
196,What is the reason behind using Hadoop in Big Data analytics?
197,What do you understand by fsck in Hadoop?
198,Can you explain some of the important features of Hadoop?
199,What is Hadoop and what are its components?
200,In what all modes can Hadoop be run?
201,Name some of the major organizations globally that use Hadoop?
202,What are the real-time industry applications of Hadoop?
203,What is HBase?
204,What is a Combiner?
205,"Is it okay to optimize algorithms or codes to make them run faster? If yes, why?"
206,What is the difference between RDBMS and Hadoop?
207,What is Apache Spark?
208,Can you list the components of Apache Spark?
209,What are the differences between Hadoop and Spark?
210,What is Apache Hive?
211,Does Hive support multiline comments? 
212,Explain the major difference between HDFS block and InputSplit
213,How is Hadoop different from other parallel computing systems?
214,Can you list the limitations of Hadoop?
215,Watch this insightful video to learn more about Hadoop:
216,What is distributed cache? What are its benefits?
217,Name the different configuration files in Hadoop
218,Can you skip the bad records in Hadoop? How?
219,What are the various components of Apache HBase?
220,What is the syntax to run a MapReduce program?
221,Which command will you give to copy data from the local system onto HDFS?
222,What are the components of Apache HBase’s Region Server?
223,What are the various schedulers in YARN?
224,What are the main components of YARN? Can you explain them?
225,"Explain the difference among NameNode, Checkpoint NameNode, and Backup Node"
226,What are the most common input formats in Hadoop?
227,What are the most common output formats in Hadoop?
228,How to execute a Pig script?
229,What is Apache Pig and why is it preferred over MapReduce?
230,What are the components of the Apache Pig architecture?
231,Mention some commands in YARN to check application status and to kill an application.
232,What are the different components of Hive query processors?
233,What are the commands to restart NameNode and all the daemons in Hadoop?
